,N,p,k,Raft,Uninf,Geom id,Geom corr,MME,stable
0,27,0.9606149021768232,11,28.328451801686864,28.172053913748556,28.663817793590805,31.977562523721048,27.28756388415673,1
1,81.0,0.2285089676913471,17.0,52.697146741335985,72.67608249189338,56.154256764647236,73.34367288808356,469.44444444444434,0.0
2,97.0,0.07447524991793608,16.0,21.813206191410007,25.49726048193487,20.68274534616708,25.46573201230175,45.97991967871486,0.0
3,86.0,0.5324661799891324,7.0,66.86448789797728,85.19639616985273,78.245984749464,104.97833222434177,68.1757656458056,1.0
4,26.0,0.2028625589690407,21.0,13.665426977024095,14.981750501214902,13.138116333896026,15.419072035433992,15.926470588235297,0.0
5,86.0,0.8003624656442567,17.0,84.74025952722532,89.79440571442075,90.30117554281605,103.18721901503764,81.27538706069349,1.0
6,86.0,0.7156945347658266,7.0,83.86837297992123,108.9647538346815,102.44785095898912,139.1024598448889,90.66842357450885,1.0
7,2.0,0.8556332852727102,18.0,2.117227106792531,2.0940559343946874,2.1123338138784864,2.1086094169573024,2.115702479338843,1.0
8,94.0,0.058477771091649755,5.0,16.00150098902675,18.72206975160671,15.119443161177328,19.02261832248056,-130.66666666666654,0.0
9,6.0,0.9701653173293786,14.0,6.219261451801657,6.168732991087179,6.208355541170015,6.275788569667332,5.882186616399624,1.0
10,87.0,0.07082714142555457,4.0,9.651618871189275,10.259402246358075,9.43136990272995,11.027505721862845,7.7368421052631575,1.0
11,44.0,0.26133638628735734,17.0,30.010070676840638,37.083950272799065,30.408175926448283,38.12461132789603,65.4451939291737,0.0
12,60.0,0.7565152116382357,15.0,57.35751130650064,61.02752418612706,61.188575616888905,69.94968583138767,53.807582703506384,1.0
13,58.0,0.8155676502508952,10.0,56.3479272757429,58.53839488165642,59.50827862208765,72.3743671046197,53.15311004784689,1.0
14,52.0,0.9328616810405228,16.0,52.104258835262065,52.09656377548523,52.36529905555235,54.56066506977856,49.981276524923025,1.0
15,93.0,0.271520952592772,3.0,38.64733111449235,47.48778521831543,42.237007436739354,57.328358793880774,43.199999999999996,1.0
16,59.0,0.6223002799617641,13.0,62.59183237192601,82.56111280764999,74.1404638522318,94.11395884234695,82.46792316056539,1.0
17,88.0,0.26154057897522576,4.0,40.005057142157824,46.966516880801244,44.3653824508936,60.37847940161819,36.50561797752809,1.0
18,94.0,0.7155663430566149,10.0,79.81497667801784,86.51565088474426,87.11103204173976,109.63991705851873,75.40068201193522,1.0
19,71.0,0.9557054736791123,12.0,72.90068667821596,73.27750255803994,74.65310577727611,87.12929695996375,71.17422356887782,1.0
20,88.0,0.78242031876867,7.0,86.30568055803384,104.42013776710029,101.34028303225888,137.55772704755813,85.17894736842105,1.0
21,36.0,0.2536850634404815,19.0,19.81693645928942,22.189474503610946,19.714761771428687,23.591654057269253,22.970149253731343,0.0
22,37.0,0.7810595582490519,17.0,36.378614017888665,37.50146222415769,37.816790555519816,42.10512437675908,35.636089318044654,1.0
23,84.0,0.42081938266519636,3.0,45.007077674534486,52.97552521574467,50.78833687740592,71.78113394055185,39.147601476014756,1.0
24,31.0,0.3112220476755372,6.0,13.97833495483128,14.427596114095254,14.202583399414868,16.816901118591595,12.014285714285712,1.0
25,76.0,0.5829482965715038,11.0,62.69508334872016,73.66208973479661,71.3125268480269,89.81050993766962,63.67665418227215,1.0
26,97.0,0.27691847894594446,6.0,48.74277966910665,63.86227856866437,55.399906897655185,72.90710179175038,79.10588235294115,0.0
27,7.0,0.8127912054864587,5.0,7.524216070848162,7.513404294710734,7.37602803079093,8.122588830560844,5.434782608695652,1.0
28,85.0,0.24809424171410221,19.0,51.65327126030095,67.35753694138505,56.73168820842639,72.08191375741397,79.79387308533914,0.0
29,76.0,0.30844773318042806,3.0,33.10922684570191,38.38259415728061,35.454902494213364,47.878816253809525,29.137931034482765,1.0
30,92.0,0.1585238333718343,14.0,67.82292589694892,93.98111026264799,65.89066578039889,90.37433931817148,-19.700689655172415,0.0
31,83.0,0.8020083885873471,20.0,83.6496778326825,88.5298211965495,88.87552220142088,98.6143590431203,80.15517319859802,1.0
32,46.0,0.09501796702073229,9.0,8.343967278854304,8.912668917783002,7.97213696112631,9.1241835021489,7.225563909774436,1.0
33,78.0,0.3990726820559195,18.0,57.45591500568011,73.7464134750038,66.1697650117978,82.60099178101501,74.22504537205083,1.0
34,95.0,0.24988541242548878,22.0,53.74205306510195,71.75771554912725,59.96131838366023,75.9990231025194,92.63697705802971,0.0
35,1.0,0.25006970224948455,7.0,1.3727025733444627,1.3987732709942087,1.331381517531835,1.418200635965443,1.0,1.0
36,38.0,0.49830365040331714,16.0,22.539913601983148,22.521636324135518,22.81822688985869,24.3451939528629,22.043478260869566,1.0
37,43.0,0.12465516571542867,7.0,11.075543128544512,11.751392321153562,10.961507122280961,12.901421288179925,11.255813953488373,1.0
38,83.0,0.3427033605953427,17.0,68.97490076674406,101.0204573022182,81.22944017468596,106.15604197798392,228.2570452604612,0.0
39,15.0,0.8633499218847958,8.0,17.30492826752126,17.547564627280476,17.638308613536033,19.76941794035286,14.39484396200814,1.0
40,54.0,0.925298642581113,8.0,59.608677138038004,64.87688722054655,65.25057852704259,85.35556731324246,56.510322346975734,1.0
41,51.0,0.40534854872067505,10.0,48.30949514040362,62.40199517223219,52.74865867946556,68.09250546767763,70.45026178010471,0.0
42,42.0,0.8524632364896088,17.0,40.79890740503771,40.86889269979408,41.24845132754363,43.6498967402578,38.95852156057495,1.0
43,61.0,0.9787057690173374,11.0,61.94468492066587,61.77238655828223,62.277048687266124,69.98938852564342,60.42347655153046,1.0
44,11.0,0.4852747584349746,9.0,9.723674221462053,10.349014266640978,9.39591407021516,10.811425542112406,9.307692307692307,1.0
45,7.0,0.5490341255000357,16.0,6.988674979927432,7.054957156745874,6.907739316686524,7.196912865446256,4.955056179775281,1.0
46,55.0,0.6655056022687182,18.0,57.75178965517852,67.35469480273107,63.65377841215416,75.89946030332736,57.477555435370476,1.0
